,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/class>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/conservationStatus>,<http://dbpedia.org/ontology/family>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://dbpedia.org/ontology/order>
"<http://dbpedia.org/ontology/synonym>:-:""*Lygodium scandens (auct.)""",,X,X,,X,,X,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Japan>,,X,,,,,,X,,,,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Lygodium microphyllum""@en",,X,X,,X,,X,X,,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,X,,,,,,X,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Brunei>,,X,,,,,,X,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,X,,,,,,,,X,,,,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Lygodium microphyllum""@en",,X,X,,X,,X,X,,,X,,X,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*Ugena microphylla (Cav.) (basionym)""",,X,,,,,X,,,,,,,X,,
"<http://dbpedia.org/ontology/conservationStatus>:-:""G5""",,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Pteridophyta_of_Africa>,,X,,,,,,X,,,,,,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*L. scandens (L.)Sw.)""",,X,,,,,X,,,,,,,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*L. scandens var. microphyllum (Cav.)Luerss.)""",,X,,,X,,X,,,,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Pteridophyta_of_Australia>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Taiwan>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_New_South_Wales>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_the_Northern_Territory>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Invasive_plant_species>,,X,,,,X,,X,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_New_Guinea>,,X,,,,,,X,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Plants_described_in_1801>,,X,,,,X,,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Plant>,,X,,,,X,,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,X,,,,,,,,X,,,,X,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/ARS_Lygodium_microphyllum_foliage.jpg?width=300>,,X,X,,X,,X,X,,,X,,X,X,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Leptosporangiate_fern>,,X,,,,,,X,X,X,,,,X,,
"<http://dbpedia.org/ontology/conservationStatusSystem>:-:""TNC""",,,,,,,,,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_India>,,X,,,,,,X,,X,,,,X,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Lygodium>,,X,X,,X,,,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Malesia>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Western_Australia>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Queensland>,,X,,,,,,X,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PlantsDescribedIn1801>,,X,,,,X,,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Plant100017222>,,X,,,,X,,X,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Pteridophyta_of_Asia>,,X,,,,,,X,,,,,,X,,
<http://dbpedia.org/ontology/division>:-:<http://dbpedia.org/resource/Pteridophyte>,X,X,,,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,X,,,,,,,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q756>,,X,,,,,,,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,X,,,,,,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,X,,,,,,
