,<http://dbpedia.org/ontology/height>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/position>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://dbpedia.org/ontology/careerStation>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/birthPlace>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://dbpedia.org/ontology/number>
<http://dbpedia.org/ontology/careerStation>:-:<http://dbpedia.org/resource/Fabrice_Gautrat__2>,,X,X,,,X,X,,X,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Living_people>,,,X,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Soccer_players_from_California>,,,X,,,,,,,X,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Premier_Development_League_players>,,,X,,,,,,,X,,X,,,
"<http://dbpedia.org/ontology/height>:-:""1.8796""^^<http://www.w3.org/2001/XMLSchema#double>",X,,X,,,,,,X,X,,,,,
"<http://xmlns.com/foaf/0.1/surname>:-:""Gautrat""@en",,X,X,,,X,,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Atlanta_Silverbacks_players>,,,X,,,,,,,X,,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/UJA_Maccabi_Paris_Métropole>,,,X,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:San_Diego_Toreros_men's_soccer_players>,,,X,,,,,,,X,,X,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Footballer""@en",,,X,,,,,,,X,,,,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Fabrice Gautrat""@en",,X,X,,,X,X,,X,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q937857>,,,,,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,X,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,,X,,,
