,<http://dbpedia.org/ontology/title>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/deathPlace>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/deathDate>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/activeYearsStartYear>,<http://dbpedia.org/ontology/predecessor>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/parent>,<http://dbpedia.org/ontology/successor>,<http://purl.org/dc/elements/1.1/description>,<http://dbpedia.org/ontology/activeYearsEndYear>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GoodPerson110138767>,,,,,X,,,,X,X,X,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""აშოტ I""@en",,,,,X,,,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/9th-centuryMonarchsInAsia>,,,,,X,,X,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SaintsOfGeorgia(country)>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,X,,,,X,X,X,X,X,,,
<http://dbpedia.org/ontology/parent>:-:<http://dbpedia.org/resource/Bagrat_I_of_Iberia>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/9th-centuryChristianMartyrs>,,,,,X,,X,,X,X,X,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Christian_saints_killed_by_Muslims>,,,,,X,,X,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Royalty>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Negotiator110351874>,,,,,X,,,,X,X,X,X,X,,,
<http://dbpedia.org/ontology/successor>:-:<http://dbpedia.org/resource/Bagrat_I_of_Iberia>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Ashotkurapalatgeorgia.jpg?width=300>,,X,,,X,,X,,X,X,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,X,,,,X,X,X,X,X,,,
<http://dbpedia.org/ontology/parent>:-:<http://dbpedia.org/resource/Adarnase_I_of_Tao-Klarjeti>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,X,,,,X,X,X,X,X,,,
"<http://dbpedia.org/ontology/title>:-:""Prince of Iberia""@en",X,,,,X,,X,,X,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:8th-century_births>,,,,,X,,X,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/HeadOfState110164747>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Ashotkurapalatgeorgia.jpg>,,,,,X,,X,,X,X,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/predecessor>:-:<http://dbpedia.org/resource/Stephen_III_of_Iberia>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:9th-century_Christian_saints>,,,,,X,,X,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Unfortunate109630641>,,,,,X,,,,X,X,X,X,X,,,
"<http://dbpedia.org/ontology/title>:-:""Kouropalatēs""@en",X,,,,,,,,,,,,,,,
"<http://dbpedia.org/ontology/deathDate>:-:""0830""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,X,,,X,X,,,,X,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,X,,X,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,X,,X,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,X,,,,X,X,X,X,X,,,
