,<http://dbpedia.org/ontology/deathYear>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/deathPlace>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/birthPlace>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingPeople>,,,,,,,,X,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_Roman_Catholic_bishops>,,,,,,,,X,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Clergyman109927451>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Priest110470779>,,,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1921_births>,,,,,,,X,X,,,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""William Anthony""@en",,X,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:St._Charles_College_alumni>,,,,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SpiritualLeader109505153>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Scholar110557854>,,,,,,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""William Anthony Hughes""@en",,X,,,X,,,,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/St.CharlesCollegeAlumni>,,,,,,,,X,,X,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Prelate of the Roman Catholic Church""@en",,,,,,,,X,,X,,X,
"<http://purl.org/dc/elements/1.1/description>:-:""Prelateof theRoman Catholic Church""",,,,,,,,X,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Alumnus109786338>,,,,,,,,,,X,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Youngstown,_Ohio>",,,,,,,,X,X,X,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1921""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,X,X,,,,,
"<http://dbpedia.org/ontology/deathYear>:-:""2013""^^<http://www.w3.org/2001/XMLSchema#gYear>",X,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:University_of_Notre_Dame_alumni>,,,,,,,,X,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Leader109623038>,,,,,,,,,,X,,,
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromYoungstown,Ohio>",,,,,,,,X,X,X,,,
"<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Youngstown,_Ohio>",,,,,,,,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_people_of_Irish_descent>,,,,,,,,X,,X,,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Hughes, William Anthony""@en",,X,,,X,,,,,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Saint_Mary_Seminary_and_Graduate_School_of_Theology_alumni>,,,,,,,,X,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AmericanRomanCatholicBishops>,,,,,,,,X,,X,,X,
"<http://dbpedia.org/ontology/deathDate>:-:""2013-02-07""^^<http://www.w3.org/2001/XMLSchema#date>",X,,,,,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,,,,,,X,,,
