,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://www.w3.org/2004/02/skos/core#subject>,<http://data.linkedmdb.org/resource/movie/film_subject>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/cinematographer>,<http://data.linkedmdb.org/resource/movie/relatedBook>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/language>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
<http://www.w3.org/2004/02/skos/core#subject>:-:<http://data.linkedmdb.org/resource/film_subject/281>,,X,,X,X,,,X,,,,,X,,,,,,X,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""109""",,,,,,,,,,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/33031>,,,,,,,,,,,,,X,,,X,,,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000ac8dbc>,,,,,,,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/13572>,,,,,,,,,,,,,X,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35239>,,,,,,,,,,,,,X,,,X,,,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/8982>,,,,,,,,,,X,,,X,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/39963>,,,,,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/8599>,,X,,X,X,,,X,,,,,X,,,,,,X,,,,,,,X
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/4082>,X,,,,,,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/genre>:-:<http://data.linkedmdb.org/resource/film_genre/23>,,X,,X,X,,,X,,,,,X,,,,,,X,,,,X,,,X
<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/The_Handmaid's_Tale_(film)>,,X,,X,X,,,X,X,,,,X,,X,,,,X,,,,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,X,,X,X,,,X,,,,,X,,,,,,X,,,,,,,X
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/11068>,,,,,,,,,,,,,X,,,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/40287>,,,,,,X,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/55701>,,,,,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31745>,,,,,,,,,,,,,X,,,X,,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""The Handmaid's Tale""",,,,,,,,,X,,,,,,X,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/2897>,,,,,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/139299>,,,,,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/31801>,,,,,,X,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/13441>,,,,,,,,,,,,,X,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/21430>,,,,,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/31803>,,,,,,X,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/8982>,,,,,,,,,,X,,,X,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/relatedBook>:-:<http://www4.wiwiss.fu-berlin.de/bookmashup/books/0771008139>,,,,,,,,,,,,X,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/6866>,,X,,X,X,,,X,,,,,X,,,,,,X,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""6213""^^<http://www.w3.org/2001/XMLSchema#int>",,,X,,,,,,,,,,X,,,,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1990-02-15""",,,,,,,,,,,,,,,,,,,,X,,,,X,,
<http://data.linkedmdb.org/resource/movie/cinematographer>:-:<http://data.linkedmdb.org/resource/cinematographer/1292>,,,,,,,,,,,X,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/47463>,,,,,,,,,,,,,X,,,X,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""The Handmaid's Tale""",,,,,,,,,X,,,,,,X,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/movie/film_subject>:-:<http://data.linkedmdb.org/resource/film_subject/281>,,X,,X,X,,,X,,,,,X,,,,,,X,,,,,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,,,,,X,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/118941>,,,,,,X,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30559>,,,,,,,,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/72470>,,,,,,,,,,,,,X,,,,,X,,,,,,,,
