,<http://dbpedia.org/ontology/releaseDate>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/producer>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/album>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/artist>,<http://dbpedia.org/ontology/recordLabel>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,X,,,,,,,,X,,,X
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Capitol_Records>,,X,,,,,,,,X,,,X
<http://dbpedia.org/ontology/album>:-:<http://dbpedia.org/resource/Gangsta_Nation>,,X,X,,,,X,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AlbumsProducedByFredwreck>,,X,,,X,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Westside_Connection_albums>,,X,X,,,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/English-languageAlbums>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CapitolRecordsAlbums>,,X,,,,,,,,X,,,X
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Damizza>,,X,,,X,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/WestsideConnectionAlbums>,,X,X,,,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/WC(rapper)Albums>,,X,X,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,X,,,,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mack_10_albums>,,X,,,,,,,,X,,,X
"<http://dbpedia.org/ontology/releaseDate>:-:""2003-12-09""^^<http://www.w3.org/2001/XMLSchema#date>",X,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Medium106254669>,,X,,,,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:WC_(rapper)_albums>,,X,X,,,,,,,X,,,X
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Bow_Down>,,X,,,,,,X,X,X,,,X
<http://dbpedia.org/ontology/artist>:-:<http://dbpedia.org/resource/Westside_Connection>,,X,X,,,,,,,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Ice_Cube_albums>,,X,,,,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2003_albums>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/IceCubeAlbums>,,X,,,,,,,,X,,,X
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Sir_Jinx>,,X,,,X,,,,,,,,X
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Hertz>,,X,,,X,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Album106591815>,,X,,,,,,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:English-language_albums>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q482994>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,X,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,X,,,,,,,,X,,,X
