,<http://dbpedia.org/ontology/battle>,<http://dbpedia.org/ontology/allegiance>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/birthPlace>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/occupation>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/serviceStartYear>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/commander>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/serviceEndYear>,<http://dbpedia.org/ontology/deathPlace>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://dbpedia.org/ontology/militaryCommand>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/award>,<http://xmlns.com/foaf/0.1/depiction>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Air_Force_personnel_of_World_War_II>,X,,,,X,,X,,,X,X,,,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Preserver110466918>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,X,,,,X,,,,,,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Roderick""@en",X,,,,X,,,,,X,,X,X,,,X,,,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Lawman110249459>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:New_Zealand_recipients_of_the_Légion_d'honneur>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Companions_of_the_Order_of_the_Bath>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AirMarshal109781171>,X,,,,X,,,,,X,,,,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/RoyalNavyOfficersOfWorldWarI>,X,,,,X,,X,,,,X,,,,,,,,X,X,,X,
<http://dbpedia.org/ontology/occupation>:-:<http://dbpedia.org/resource/Secretary_of_State_for_Transport>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Defender109614684>,X,,,,X,,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/deathYear>:-:""1971""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,X,X,,,,,,,,,,,,,,,,,
<http://dbpedia.org/ontology/award>:-:<http://dbpedia.org/resource/Air_Force_Cross_(United_Kingdom)>,X,,,,X,,X,,,X,,,,,,,,X,X,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:New_Zealand_air_marshals>,X,,,,X,,,,,X,,,,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/battle>:-:<http://dbpedia.org/resource/World_War_I>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,X,,,,X,,,,,,,,,,,,,,X,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Royal Air Force air marshals""",X,,,,X,,X,,,X,,,,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/award>:-:<http://dbpedia.org/resource/Mentioned_in_dispatches>,X,,,,X,,,,,,,,,,,,,X,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MilitaryPerson>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Navy_officers_of_World_War_I>,X,,,,X,,X,,,,X,,,,,,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/MilitaryOfficer110317007>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://dbpedia.org/ontology/award>:-:<http://dbpedia.org/resource/Order_of_the_British_Empire>,X,X,,,X,,X,,,,X,,,,,,,,X,,,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Roderick Carr""@en",X,,,,X,,,,,X,,X,X,,,X,,,X,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Naval_Air_Service_aviators>,X,,,,X,,,,,X,,,,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/award>:-:<http://dbpedia.org/resource/Distinguished_Flying_Cross_(United_Kingdom)>,X,,,,X,,,,,,,,,,,,,X,X,,,X,
"<http://dbpedia.org/ontology/serviceEndYear>:-:""1947""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,,,,,,,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,,,,,X,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ExplorersOfAntarctica>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SkilledWorker110605985>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/NewZealandAirMarshals>,X,,,,X,,,,,X,,,,,,,,X,X,X,,X,X
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Feilding>,X,,,X,X,,,,,,,,,,,,,X,X,,,X,
"<http://dbpedia.org/ontology/serviceStartYear>:-:""1914""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,,X,,,,,,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Recipients_of_the_Distinguished_Flying_Cross_(United_Kingdom)>,X,,,,X,,X,,,,X,,,,,,,X,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromTheManawatu-WanganuiRegion>,X,,,,X,,,,,,,,,,,,,,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Knights_Commander_of_the_Order_of_the_British_Empire>,X,X,,,X,,X,,,,X,,,,,,,X,X,,,X,
"<http://purl.org/dc/elements/1.1/description>:-:""Royal Air Force air marshals""@en",X,,,,X,,X,,,X,,,,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Explorer110072708>,X,,,,X,,,,,,,,,,,,,,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Roderick Carr""@en",X,,,,X,,,,,X,,X,X,,,X,,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CompanionsOfTheOrderOfTheBath>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
"<http://dbpedia.org/ontology/birthYear>:-:""1891""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,X,,,,,,,,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Commandeurs_of_the_Légion_d'honneur>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
"<http://dbpedia.org/ontology/allegiance>:-:""British Empire""",X,X,,,X,,,,,,,,,,,,,,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Feilding>,X,,,X,X,,,,,,,,,,,,,X,X,,,X,
<http://dbpedia.org/ontology/battle>:-:<http://dbpedia.org/resource/World_War_II>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Air_Force_air_marshals>,X,,,,X,,X,,,X,,,,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,X,,,,X,,,,,,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Carr, Roderick""@en",X,,,,X,,,,,X,,X,X,,,X,,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Aviator109826204>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Air_Mshl_Sir_Roderick_Carr.jpg?width=300>,X,,,,X,,,,,X,,X,X,,,X,,X,X,X,X,X,X
"<http://xmlns.com/foaf/0.1/surname>:-:""Carr""@en",,,,,,,,,,,,X,X,,,,,,,,X,,
"<http://dbpedia.org/ontology/birthDate>:-:""1891-08-31""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,X,,,,,,,,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1891_births>,X,,,,X,,,,,,,,,,,,X,,X,,,,
<http://dbpedia.org/ontology/commander>:-:<http://dbpedia.org/resource/Battle_of_Berlin_(RAF_campaign)>,X,,,,X,,X,,,,X,,,,,,,X,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Friend110112591>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/RoyalAirForceAirMarshals>,X,,,,X,,X,,,X,,,,,,,,X,X,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Recipients_of_the_Air_Force_Cross_(United_Kingdom)>,X,,,,X,,X,,,X,X,,,,,,,X,X,X,,X,X
"<http://dbpedia.org/ontology/militaryCommand>:-:""RAF Brize Norton""",X,,,,X,,,,,,X,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/deathDate>:-:""1971-12-15""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,X,X,,X,,,,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Explorers_of_Antarctica>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Air_Mshl_Sir_Roderick_Carr.jpg>,X,,,,X,,,,,X,,X,X,,,X,,X,X,X,X,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/RoyalNavalAirServiceAviators>,X,,,,X,,,,,X,,,,,,,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,X,,,,X,,,,,,,,,,,,,X,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,X,,,,X,,,,,,,,,,,,,X,X,,,X,
