,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/birthPlace>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/2000/01/rdf-schema#seeAlso>,<http://dbpedia.org/ontology/region>,<http://dbpedia.org/ontology/populationTotal>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/minimumElevation>,<http://dbpedia.org/ontology/maximumElevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,<http://dbpedia.org/ontology/department>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/postalCode>,<http://dbpedia.org/ontology/inseeCode>,<http://dbpedia.org/ontology/deathPlace>,<http://dbpedia.org/ontology/area>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/elevation>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,,,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Commune108541609>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Edgar_Givry>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Henry_Bérenger>,,,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/District108552138>,,,,,,,,,,,,,,X,,,,,X,,X,,X
<http://www.w3.org/2000/01/rdf-schema#seeAlso>:-:<http://dbpedia.org/resource/Lists_of_twin_towns_and_sister_cities>,,X,,X,X,,,,,,,,,X,,,X,,X,,X,,X
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/MairieStRaphaël.JPG?width=300>,,,,,,,,,,,,,,X,,,,,X,,,,X
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Adrien_Douady>,,,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CommunesOfVar(department)>,,X,,X,X,,,,,,,,X,,X,,,,X,,X,,
"<http://dbpedia.org/ontology/populationTotal>:-:""34425""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,,,,,X,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Grégory_Tony>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,,,,,,,,,,X,,X,,
"<http://www.georss.org/georss/point>:-:""43.4252 6.7684""",X,,,,,,,X,,,,X,,,,,,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Eyemen_Henaini>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/department>:-:<http://dbpedia.org/resource/Var_(department)>,,,,X,,,,,,,,,X,,X,,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Louis_Hon>,,,,,,,,,X,,,,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/MairieStRaphaël.JPG>,,,,,,,,,,,,,,X,,,,,X,,,,X
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Valérie_Allain>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/François_Simiand>,,,,,X,,,,,,,,,,,,X,,X,,,,
"<http://dbpedia.org/ontology/postalCode>:-:""83700 and 83530""",,,,,X,,,,,,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/region>:-:<http://dbpedia.org/resource/Provence-Alpes-Côte_d'Azur>,,,,,,X,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Communes_of_Var_(department)>,,X,,X,X,,,,,,,,X,,X,,,,X,,X,,
<http://www.w3.org/2000/01/rdf-schema#seeAlso>:-:<http://dbpedia.org/resource/France>,,,X,,X,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/David_Michie>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Melchior_Treub>,,,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Anthony_Braizat>,,X,,,,,,,X,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Josep_Irla_i_Bosch>,,,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Fabien_Dao_Castellana>,,X,,,,,,,,,,,,X,,,,,X,,,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Saint-Raphaël, Var""@en",,,,X,,,,,,,,,X,,X,X,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Germaine_Sablon>,,,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Basil_Spalding_de_Garmendia>,,,,,,,,,,,,,,,,,,,X,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""43.4252""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,X,,,,X,,,,,,,,,,,
"<http://dbpedia.org/ontology/maximumElevation>:-:""560.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,X,X,,,,,,,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Capucine>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Arthur_Coadou>,,,,,,,,,,,,,,,,,,,X,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""6.7684""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,,,,X,,,,,,,,,,,,,,,
"<http://dbpedia.org/ontology/inseeCode>:-:""83118""",,,,,,,,,,,,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Jean-Christophe,_Prince_Napoléon>",,X,,,,,,,,,,,,X,,,,,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,,,,,,,,,X,,X,,
