,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/actor_nytimes_id>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/actor_name>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/actor_actorid>,<http://data.linkedmdb.org/resource/movie/actor_netflix_id>,<http://data.linkedmdb.org/resource/movie/performance>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152821>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75089>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75105>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75103>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152815>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75107>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152817>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152805>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75099>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75104>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152811>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152813>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152801>,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/actor_netflix_id>:-:""""",,,,,,,,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152818>,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/actor>,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75101>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75108>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75097>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75091>,,,,X,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f800000000026d739>,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75095>,,,,X,,,,,
"<http://data.linkedmdb.org/resource/movie/actor_nytimes_id>:-:""""",,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152806>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75087>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152808>,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/actor_name>:-:""Byron Long""",,,X,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75093>,,,,X,,,,,
