,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/sequel>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/prequel>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/performance>
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Now You See Him, Now You Don't""",,,,,,,,,X,,,,,X,,X,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/145301>,,,X,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31101>,,,X,,,,,,,X,,,,,,,,,,
"<http://purl.org/dc/terms/date>:-:""1972""",,,,,,,,,,,,,X,,,,,,X,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/50788>,,,X,,,,,,,X,,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,X,X,,,,,X,,,,,,,X,,,X,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""14438""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,X,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/100252>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/6288>,,,X,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/100251>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/140418>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/43354>,,,X,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/2641>,X,,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31243>,,,X,,,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/19886>,,X,X,,,,,X,,,,X,,,X,,,X,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/24821>,,,X,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/104>,,,X,,,X,,,,,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""88""",,,,,,,,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/33082>,,,X,,,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/74945>,,,X,,,,X,,,,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1972""",,,,,,,,,,,,,X,,,,,,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/70478>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/527>,,,X,,,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/47754>,,X,X,,,,,X,,,,,,,X,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/194101>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/14630>,,X,X,,,,,X,,,,,,,X,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/100253>,,,X,,,,,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000005596ce8>,,,X,,,,,,,,,,,,,,,,,
