,<http://dbpedia.org/ontology/height>,<http://dbpedia.org/ontology/college>,<http://dbpedia.org/ontology/alias>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>
"<http://xmlns.com/foaf/0.1/name>:-:""Cindy Mackey""@en",,,X,X,,X,,X,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1961_births>,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingPeople>,,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Living_people>,,,,,,,,X,X,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Professional golfer""@en",,X,,,,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,,,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Cindy Pleger Mackey""@en",,,X,X,,X,,X,X,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:LPGA_Tour_golfers>,,,,,,,,X,X,,X,
"<http://dbpedia.org/ontology/height>:-:""1.7526""^^<http://www.w3.org/2001/XMLSchema#double>",X,,,,,,,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Mackey, Cindy""@en",,,X,X,,X,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LPGATourGolfers>,,,,,,,,X,X,,X,
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromAthens,Georgia>",,X,,,,,,X,X,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Cindy""@en",,,X,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Georgia_Bulldogs_women's_golfers>,,X,,,,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q13156709>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,X,X,,,
