,<http://dbpedia.org/ontology/height>,<http://dbpedia.org/ontology/college>,<http://dbpedia.org/ontology/activeYearsStartYear>,<http://dbpedia.org/ontology/termPeriod>,<http://xmlns.com/foaf/0.1/depiction>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/birthPlace>,<http://dbpedia.org/ontology/league>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://xmlns.com/foaf/0.1/givenName>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/weight>,<http://xmlns.com/foaf/0.1/surname>,<http://purl.org/dc/elements/1.1/description>,<http://dbpedia.org/ontology/activeYearsEndYear>,<http://dbpedia.org/ontology/draftYear>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Undrafted_National_Basketball_Association_players>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Coach109931640>,,,,X,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Living_people>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ChicagoBullsAssistantCoaches>,,,,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Dallas_Mavericks_players>,,,,,,,,,,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__6>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:African-American_basketball_players>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/MilwaukeeBucksAssistantCoaches>,,,,,,,,,,,,X,,X,,,,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""American basketball player-coach""",,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/BasketballCoach109841955>,,X,,X,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Leader109623038>,,,,X,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_expatriate_basketball_people_in_Italy>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Athlete>,,,,,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,X,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Basketball_players_from_Kansas>,,X,,,,,,,X,X,,X,,X,,,,,X,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__10>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,X,,,,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Kansas>,,,,,,,,,X,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,,,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/college>:-:<http://dbpedia.org/resource/Seton_Hall_Pirates_men's_basketball>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/BasketballPlayersFromKansas>,,X,,,,,,,X,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,X,,,,,,,,,,X,,,,,,,
"<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Wichita,_Kansas>",,,,,,,,,X,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__1>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,,,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__9>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Guard110150071>,,,,X,,,,,,,,,,X,,,,,,,
"<http://dbpedia.org/ontology/height>:-:""1.9558""^^<http://www.w3.org/2001/XMLSchema#double>",X,,,X,,,,,,,,,,,,,,,,,
"<http://dbpedia.org/ontology/weight>:-:""98431.2""^^<http://www.w3.org/2001/XMLSchema#double>",,,,X,,,,,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/surname>:-:""Griffin""@en",,,,X,,X,,,,,,X,,,X,,,X,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__4>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Seton_Hall_Pirates_men's_basketball_players>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:African-American_basketball_coaches>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AfricanAmericanBasketballPlayers>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Connecticut_Pride_players>,,,,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Chicago_Bulls_players>,,,,,,,,,,,,X,,X,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Griffin, Adrian""@en",,,,X,X,X,X,,,,,X,X,,X,,,X,,,
"<http://dbpedia.org/ontology/birthDate>:-:""1974-07-04""^^<http://www.w3.org/2001/XMLSchema#date>",,,,X,,,,X,,,X,X,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Seattle_SuperSonics_players>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/HoustonRocketsPlayers>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/BostonCelticsPlayers>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AfricanAmericanBasketballCoaches>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Atlantic_City_Seagulls_players>,,,,,,,,,,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__7>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Adrian""@en",,,,X,X,X,X,,,,,,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/BasketballPlayer109842047>,,X,,X,,,,,,X,,X,,X,,,,,X,,
<http://dbpedia.org/ontology/league>:-:<http://dbpedia.org/resource/National_Basketball_Association>,,X,,,,,,,,X,,X,,X,,,,,X,,
"<http://dbpedia.org/ontology/activeYearsStartYear>:-:""1996""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,X,X,,,,,,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Contestant109613191>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,X,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,X,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q3665646>,,,,X,,,,,,,,,,X,,,,,,,
