,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/based_near>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/country>
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/19714>,,,,X,,,,,X,,,,X,,,X,,X,X,,X
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""120""",,,,,,,,,,X,,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""A Man, a Real One""",,,,,,,,,X,,,,,,,X,,X,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/20517>,,,,,,,X,,X,,,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/1569>,,,,,,,,,X,,X,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/fr>,,,,,,,,,,,,X,X,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/10974>,,,,,,,,,X,,X,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/137539>,,,,,,,X,,X,,,,X,,,X,,X,,,X
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""2003-05-28""",,X,,,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/39050>,,,,,,,X,,X,,,,X,,,X,,X,,,X
"<http://purl.org/dc/terms/date>:-:""2003-05-28""",,X,,,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/23034>,,,,,,,,X,X,,,,X,,,X,,X,,,X
<http://xmlns.com/foaf/0.1/based_near>:-:<http://sws.geonames.org/3017382/>,,,,,,,,,X,,,,X,X,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,,,,X,X,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/797>,,,,,,,,X,X,,,,X,,,X,,X,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0329706>,,,,,,,,,X,,,X,X,,,X,,X,,,X
"<http://purl.org/dc/terms/title>:-:""A Man, a Real One""",,,,,,,,,X,,,,,,,X,,X,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/137540>,,,,,,,X,,X,,,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/778>,,,,,,,,,X,,,,X,,,X,,X,,X,X
<http://data.linkedmdb.org/resource/movie/country>:-:<http://data.linkedmdb.org/resource/country/FR>,,,,,,,,,X,,,X,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/19714>,,,,X,,,,,X,,,,X,,,X,,X,X,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/66572>,,,,,,,X,,X,,,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/777>,,,,,,,,,X,,,,X,,,X,,X,,X,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35688>,,,,,,,,,X,,X,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/1570>,,,,,,,,,X,,X,,X,,,X,,X,,,X
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""4053""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,X,,,,X,,,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/84776>,,,,,,,,,X,,,,X,,,X,,X,,X,X
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/632>,,,,X,,,,,X,,,,X,,,X,,X,X,,X
"<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/A_Man,_a_Real_One>",,,,,,,,,X,,,,X,,,X,,X,,,X
