,<http://dbpedia.org/ontology/areaTotal>,<http://dbpedia.org/ontology/postalCode>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/district>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/areaCode>,<http://dbpedia.org/ontology/federalState>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/populationAsOf>,<http://dbpedia.org/ontology/elevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/UrbanArea108675967>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Municipality108626283>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/District108552138>,,,,,,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/district>:-:<http://dbpedia.org/resource/Schleswig-Flensburg>,,,,,,,,,,X,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AdministrativeDistrict108491826>,,,,,,,,,,,X,X,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Uelsby""@en",,,,X,,X,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Schleswig-Flensburg>,,,,,,,,,,X,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,,,,X,,,,,,
"<http://dbpedia.org/ontology/postalCode>:-:""24860""",,X,,,,,,,,,,,,,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""9.566667""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,X,,,,,,,,,,,,,
"<http://www.georss.org/georss/point>:-:""54.6 9.566666666666666""",,,,,,,X,,,,,,,,,,,X
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""54.6""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,X,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeographicalArea108574314>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Municipalities_in_Schleswig-Holstein>,,,,,,,,,,,X,X,,X,,,,
"<http://dbpedia.org/ontology/areaCode>:-:""04623""",,,,,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/federalState>:-:<http://dbpedia.org/resource/Schleswig-Holstein>,,,,,,,,,,,X,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,,,,,X,,,,,,
"<http://dbpedia.org/ontology/populationTotal>:-:""461""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,X,,,,,,,,X,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/MunicipalitiesInSchleswig-Holstein>,,,,,,,,,,,X,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,,,X,,,,,,
"<http://dbpedia.org/ontology/populationAsOf>:-:""2006-12-31""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,,,,,,,,,,,,X,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Uelsby_Wappen.png>,,,,X,,X,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,,,X,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,X,X,,,,,,
