,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/production_company>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://purl.org/dc/terms/date>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/cinematographer>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/318>,X,,,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/39434>,,,,X,,,,,,X,,,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Biggie & Tupac""",,,,,,,,,X,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4345>,,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/44189>,,,,X,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4343>,,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/34874>,,,,X,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,X,,,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/867>,,,,X,,,,,,,,X,X,X,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/136276>,,,,X,,,,,,,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0303356>,,,,X,,,,,,,,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""2002-01-11""",,,,,,X,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/cinematographer>:-:<http://data.linkedmdb.org/resource/cinematographer/183>,,,,X,,,,,,,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4347>,,,,X,,,,,,,,,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""108""",,,,,,,,,,,,,,,,X,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0303356>,,,,X,,,,,X,,X,,,,,,,X,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/9690>,,,,X,X,,,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/371>,,X,,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/production_company>:-:<http://data.linkedmdb.org/resource/production_company/86>,,,X,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/10936>,,,,X,,,,,,,,X,X,X,,,,,,,
