,<http://data.linkedmdb.org/resource/movie/story_contributor>,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/writer>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/film_story_contributor>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/film_art_director>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/44076>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148979>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/143782>,,,,,,,,X,,,,X,X,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,X,,X,,,X,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/74334>,,,,,,,,X,,,,X,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148977>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148975>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29731>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30368>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148973>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148971>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/story_contributor>:-:<http://data.linkedmdb.org/resource/film_story_contributor/601>,X,X,,,,,X,X,,,,,X,X,,X,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/33534>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/61176>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/20104>,,,X,,,,,X,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/46898>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/82>,,,,X,,,,X,,,,,X,,X,X,
<http://data.linkedmdb.org/resource/movie/film_story_contributor>:-:<http://data.linkedmdb.org/resource/film_story_contributor/601>,X,X,,,,,X,X,,,,,X,X,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Men in White""",,,,,,,,X,,X,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/55700>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/40968>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148978>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/61227>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148968>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148974>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148972>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148976>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148980>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148969>,,,,,,,,X,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/13587>,,,,,,X,,X,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/film_art_director>:-:<http://data.linkedmdb.org/resource/film_art_director/5>,X,X,,X,,,X,X,,,,,X,X,X,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/148970>,,,,,,,,X,,,,,X,,,,X
