,<http://xmlns.com/foaf/0.1/made>,<http://xmlns.com/foaf/0.1/page>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/director_directorid>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/director_name>
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/209>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/21577>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/25006>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_name>:-:""Fred C. Newmeyer""",,,X,,,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/66749>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/8672>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/94441>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/57112>,X,,,,,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000b97495>,,X,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/93242>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/21577>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/21167>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/57862>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/40871>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/57862>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_directorid>:-:""416""^^<http://www.w3.org/2001/XMLSchema#int>",,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Fred C. Newmeyer (Director)""",,,X,,X,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/16516>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/66469>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/55669>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/7007>,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,X,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/5711>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/57112>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/48957>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/21167>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/45424>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/45424>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/55669>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/66506>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/24605>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/57373>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/94441>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/25006>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/209>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/57373>,X,,,,,X,
