,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://www.w3.org/2004/02/skos/core#subject>,<http://data.linkedmdb.org/resource/movie/film_subject>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/language>,<http://xmlns.com/foaf/0.1/based_near>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/country>
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/136101>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/fr>,,,,,,,,,,,,,,,,,,,X,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/38286>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000004fd9b4>,,,,,,,,,,X,,,,,,,,,X,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30463>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/136102>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/4557>,X,,,,,,,,,,,,,,,,,,,,,,,X
<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/What's_New_Pussycat?>,,,,,,,,X,,,,X,,,,,,,,,,X,,X
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""108""",,,,,,,,,,,,,,X,,,,,,,,,,
"<http://purl.org/dc/terms/date>:-:""1965""",,,,,,,,,,,,,,,,X,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""What's New Pussycat?""",,,,,,,,X,,,,X,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/19753>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/63261>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/58567>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/13237>,,,,,,,,,X,,,,,,,,X,,,,,,,X
