,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/prominence>,<http://dbpedia.org/ontology/mountainRange>,<http://dbpedia.org/ontology/locatedInArea>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/nationalTopographicSystemMapNumber>,<http://dbpedia.org/ontology/elevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,,X,,,
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ProtectedAreasOfPickensCounty,SouthCarolina>",,,,X,,,,X,X,,,
"<http://dbpedia.org/ontology/elevation>:-:""1040.892""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/MountainsOfSouthCarolina>,,,X,X,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Mountain>,,,,,X,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/NaturalElevation109366317>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/NaturalPlace>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Mountain109359803>,,,,,X,,X,,X,,,
<http://dbpedia.org/ontology/mountainRange>:-:<http://dbpedia.org/resource/Blue_Ridge_Mountains>,,,X,,X,,X,X,X,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Landforms_of_Pickens_County,_South_Carolina>",,,,X,,,,X,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Pinnacle Mountain (South Carolina)""@en",,,,X,X,,X,X,X,,,
"<http://dbpedia.org/ontology/locatedInArea>:-:<http://dbpedia.org/resource/Pickens_County,_South_Carolina>",,,,X,,,,X,X,,,
"<http://dbpedia.org/ontology/prominence>:-:""214.884""^^<http://www.w3.org/2001/XMLSchema#double>",,X,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Pinnacle Mountain""@en",,,,,X,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Area108497294>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,,X,,,
<http://dbpedia.org/ontology/locatedInArea>:-:<http://dbpedia.org/resource/South_Carolina>,,,,X,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,X,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""-82.74139""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q8502>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,,
