,<http://dbpedia.org/ontology/publisher>,<http://dbpedia.org/ontology/editor>,<http://dbpedia.org/ontology/thumbnail>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/headquarter>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/circulation>,<http://dbpedia.org/ontology/language>,<http://dbpedia.org/ontology/sisterNewspaper>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/format>,<http://xmlns.com/foaf/0.1/depiction>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Publications_established_in_1884>,,,,X,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Danish-language_newspapers>,,,X,X,,,,,X,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/NewspapersPublishedInDenmark>,,,X,X,,X,,,,,X,,,X
<http://dbpedia.org/ontology/publisher>:-:<http://dbpedia.org/resource/JP/Politikens_Hus>,X,,X,,X,,,,,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Work104599396>,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/language>:-:<http://dbpedia.org/resource/Danish_language>,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Product104007894>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Creation103129123>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Politiken""@en",,,X,,X,,,,,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Newspaper106267145>,,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Newspaper>,,,X,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PublicationsEstablishedIn1884>,,,,X,,,,,,,X,,,
"<http://dbpedia.org/ontology/circulation>:-:""88597""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,,X,,,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Danish-languageNewspapers>,,,X,X,,,,,X,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Newspapers_published_in_Denmark>,,,X,X,,X,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,,,X,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Media_in_Copenhagen>,,,,X,,X,,,,,X,,,
<http://dbpedia.org/ontology/headquarter>:-:<http://dbpedia.org/resource/Copenhagen>,,,,X,,X,,,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Politiken_newspaper_logo.svg?width=300>,,,X,X,X,,,,,,X,X,,X
<http://dbpedia.org/ontology/sisterNewspaper>:-:<http://dbpedia.org/resource/Jyllands-Posten>,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Press106263369>,,,,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1884_establishments_in_Denmark>,,,,X,,X,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/headquarter>:-:<http://dbpedia.org/resource/Denmark>,,,,X,,X,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1092563>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q11032>,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,X,,,,,,,X,,,
